id,date,price,predict_price,error,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,age
3782760080,2014-07-18,410000,695643,69,4,2.25,2510,4090,2.0,0,0,3,8,1840,670,2012,0,98019,47.75,-121.9375,2070,4090,3
9808700025,2015-02-11,1500000,471881,68,3,1.5,1910,21374,1.0,0,0,1,8,1910,0,1955,0,98004,47.65625,-122.1875,2850,16167,60
5537200043,2014-05-08,211000,355817,68,4,1.0,2100,9200,1.0,0,0,3,7,1050,1050,1959,0,98168,47.46875,-122.3125,1540,10033,56
255550100,2014-07-11,326000,549552,68,3,2.25,1930,3462,2.0,0,0,3,7,1930,0,2004,0,98019,47.75,-122.0,1930,2952,11
2517000260,2014-05-22,330000,552178,67,4,3.5,3150,6202,2.0,0,0,3,7,3150,0,2005,0,98042,47.40625,-122.1875,2950,5940,10
7394400080,2015-03-04,535000,895357,67,4,3.25,2840,4000,2.0,0,3,3,9,2330,510,2014,0,98108,47.5625,-122.3125,2160,4867,1
5469650040,2015-03-16,784500,1304418,66,4,5.0,5820,13906,2.0,0,0,3,11,3750,2070,1993,0,98042,47.375,-122.1875,2980,13000,22
4058200915,2014-07-21,324950,542571,66,3,1.75,2050,6720,1.0,0,2,3,7,1050,1000,1939,0,98178,47.5,-122.25,2380,7260,76
2023059052,2015-05-04,450000,148647,66,3,1.0,1350,92721,1.0,0,0,2,6,1200,150,1946,0,98055,47.46875,-122.1875,1860,8096,69
6145601599,2014-06-11,250000,417191,66,2,1.5,982,846,2.0,0,0,3,8,806,176,2006,0,98133,47.71875,-122.375,1010,3844,9
886000090,2015-03-02,395000,132190,66,2,1.0,700,7457,1.0,0,0,3,6,700,0,1943,0,98108,47.53125,-122.3125,1500,7130,72
2021000180,2015-03-10,380000,631142,66,4,2.5,3120,5001,2.0,0,0,3,9,3120,0,2005,0,98023,47.28125,-122.375,3120,5244,10
8035350120,2015-02-24,515000,850083,65,3,2.5,3020,12184,2.0,0,0,3,8,3020,0,2003,0,98019,47.75,-122.0,2980,10029,12
9264901490,2015-04-28,335000,555381,65,4,2.25,3220,7889,2.0,0,0,3,8,3220,0,1978,0,98023,47.3125,-122.3125,2120,7651,37
8078050120,2014-12-10,244000,83621,65,3,2.0,1350,8587,1.0,0,0,3,7,1350,0,1998,0,98022,47.21875,-122.0,1350,8587,17
6145600557,2014-05-09,212000,351246,65,2,1.5,1020,1525,2.0,0,0,3,7,1020,0,2004,0,98133,47.71875,-122.375,1020,3844,11
1152700220,2014-09-03,410000,672807,64,3,2.5,3040,6054,2.0,0,0,3,9,3040,0,2005,0,98042,47.34375,-122.1875,2650,6054,10
8935100100,2014-07-01,476000,785213,64,4,3.0,2890,6885,1.0,0,0,3,7,1590,1300,1945,2015,98115,47.6875,-122.3125,2180,6885,70
7568700740,2014-05-21,430000,705762,64,3,2.75,2550,11160,2.0,0,0,3,8,2550,0,1994,0,98155,47.75,-122.3125,1020,7440,21
4027700930,2015-04-28,330000,543592,64,5,1.75,2100,7347,1.0,0,0,3,7,1070,1030,1981,0,98028,47.78125,-122.25,2170,9418,34
7893800534,2014-11-24,394250,647740,64,3,2.0,2620,10107,1.0,0,3,3,7,2620,0,1982,0,98198,47.40625,-122.3125,1730,7812,33
826079047,2014-08-14,500000,823982,64,3,2.25,2990,216057,2.0,0,0,3,9,2990,0,1994,0,98019,47.75,-121.9375,2840,215622,21
7205400180,2014-12-23,235000,83334,64,3,1.0,1240,18000,1.0,0,0,2,7,1240,0,1943,0,98198,47.34375,-122.3125,1240,18000,72
6056100160,2014-07-28,182568,300180,64,4,1.5,1500,2106,2.0,0,0,3,7,1500,0,2014,0,98108,47.5625,-122.3125,1490,2175,1
8820901792,2014-07-11,640000,1046964,63,4,2.75,3040,7274,2.0,0,3,3,9,2320,720,1986,0,98125,47.71875,-122.25,2830,10080,29
4027700466,2014-12-19,340500,557315,63,3,1.0,1770,12458,1.0,0,0,3,7,1770,0,1957,0,98155,47.78125,-122.25,2000,8225,58
2781230070,2015-03-11,419950,686413,63,3,2.5,3120,6000,2.0,0,0,3,9,3120,0,2007,0,98038,47.34375,-122.0,2670,6000,8
1776460110,2014-12-23,395000,644344,63,4,2.75,2280,5013,2.0,0,0,3,8,2280,0,2009,0,98019,47.71875,-122.0,2130,5121,6
2619950110,2014-06-24,415000,680522,63,3,2.5,2280,6031,2.0,0,0,3,8,2280,0,2011,0,98019,47.71875,-121.9375,2430,7200,4
1622049242,2015-03-04,550000,896533,63,4,2.5,3148,9612,2.0,0,3,3,9,3148,0,2014,0,98198,47.40625,-122.3125,3000,11475,1
7242800020,2014-08-15,277140,453756,63,3,1.5,1190,785,2.0,0,0,3,8,920,270,2014,0,98052,47.6875,-122.125,2820,5626,1
8902000201,2015-02-19,338500,553453,63,3,2.25,1333,1470,3.0,0,3,3,7,1333,0,2009,0,98125,47.71875,-122.3125,1360,1680,6
5702330120,2014-06-03,222400,84393,62,3,2.0,1200,9566,1.0,0,0,3,7,1200,0,1995,0,98001,47.25,-122.25,1590,9518,20
8121100395,2015-03-11,645000,244090,62,4,1.5,1600,6180,1.5,0,0,3,6,1600,0,1946,0,98118,47.5625,-122.3125,1410,6180,69
6018500015,2014-07-11,199990,75420,62,2,1.0,890,6430,1.0,0,0,3,6,890,0,1935,1997,98022,47.1875,-122.0,1460,6430,80
822069066,2015-02-23,365000,135671,62,4,2.5,1620,219542,2.0,0,0,3,7,1620,0,1980,0,98038,47.40625,-122.0625,2240,217800,35
7418700040,2015-04-29,234000,380971,62,3,1.0,960,9624,1.0,0,0,3,7,960,0,1953,0,98155,47.78125,-122.3125,1540,9624,62
1776460140,2014-07-24,395000,640040,62,3,2.5,2130,5088,2.0,0,0,3,8,1840,290,2011,0,98019,47.71875,-122.0,2130,5762,4
259500270,2014-05-05,478000,775860,62,3,2.5,3040,4535,2.0,0,0,3,9,3040,0,2007,0,98056,47.5,-122.1875,2670,4666,8
3175200220,2015-01-13,410000,668206,62,3,2.5,2150,4332,2.0,0,0,3,8,2150,0,2013,0,98019,47.75,-122.0,2140,4332,2
6371500120,2014-12-24,325000,126563,61,2,1.0,960,4800,1.5,0,0,2,6,960,0,1912,0,98116,47.5625,-122.4375,1440,4800,103
9828200790,2014-10-28,815000,316072,61,4,2.0,1400,4800,2.0,0,0,3,7,1400,0,1986,0,98122,47.625,-122.3125,1620,2595,29
2806800120,2014-06-10,400000,647847,61,4,2.5,2530,7563,1.0,0,0,3,7,1440,1090,1978,0,98011,47.78125,-122.1875,1960,7811,37
9526500090,2014-08-22,400000,645678,61,3,3.0,2090,7634,1.0,0,0,3,8,1450,640,2001,0,98019,47.75,-122.0,2090,9600,14
7401000040,2014-05-07,405000,652657,61,3,2.25,1660,8307,1.0,0,0,4,8,1660,0,1961,0,98133,47.75,-122.375,2510,7800,54
3306200230,2015-03-03,147000,237217,61,3,1.5,1480,9606,1.0,0,0,4,7,1100,380,1964,0,98023,47.3125,-122.375,1600,9619,51
3579000180,2014-12-29,495000,798834,61,3,2.75,2430,14861,1.0,0,0,3,9,1530,900,1988,0,98028,47.75,-122.25,2230,10300,27
8151600973,2015-04-06,375000,606424,61,4,2.5,2510,7245,2.0,0,0,3,9,2510,0,2007,0,98146,47.5,-122.375,1830,8900,8
3222049087,2015-04-22,570000,917549,60,1,1.0,720,7540,1.0,1,4,4,6,720,0,1905,0,98198,47.34375,-122.3125,1120,9736,110
3325069064,2015-03-26,1052000,417680,60,3,1.0,1860,44431,1.0,0,0,4,6,1860,0,1947,0,98074,47.59375,-122.0625,2000,44431,68
323049176,2014-05-30,325000,520287,60,3,1.75,2180,10230,1.0,0,0,4,7,1090,1090,1961,0,98118,47.53125,-122.25,2130,7200,54
8562901010,2014-09-26,505000,812851,60,2,3.0,2770,10800,1.5,0,0,5,8,1910,860,1984,0,98074,47.59375,-122.0625,2140,10800,31
4046700110,2015-02-24,323000,516810,60,3,1.75,1950,15037,1.0,0,0,3,7,1950,0,1989,0,98014,47.6875,-121.9375,1760,15181,26
2548100180,2014-05-07,335000,536929,60,3,2.0,1570,7200,1.0,0,0,4,7,1570,0,1952,0,98155,47.75,-122.3125,1410,7434,63
9429400060,2015-04-09,377000,603788,60,3,2.5,1870,5333,2.0,0,0,3,8,1870,0,2012,0,98019,47.75,-122.0,2100,3730,3
8141300030,2015-02-10,340000,544053,60,3,2.0,1920,5688,1.0,0,3,3,9,1920,0,2007,0,98022,47.1875,-122.0,2384,4802,8
1257201420,2014-07-09,595000,954057,60,4,3.25,3730,4560,2.0,0,0,3,9,2760,970,2015,0,98103,47.6875,-122.3125,1800,4560,0
1776460190,2014-06-26,429900,691128,60,3,2.5,2370,5353,2.0,0,0,3,8,2370,0,2009,0,98019,47.71875,-122.0,2130,6850,6
3278600750,2015-04-07,250000,401253,60,1,1.5,1180,1688,2.0,0,0,3,8,1070,110,2007,0,98126,47.5625,-122.375,1380,2059,8
4389201095,2015-05-11,3650000,1480554,59,5,3.75,5020,8694,2.0,0,1,3,12,3970,1050,2007,0,98004,47.625,-122.1875,4190,11275,8
326049038,2015-05-04,520000,827060,59,4,2.75,2700,9882,2.0,0,0,3,7,2700,0,1958,1989,98155,47.78125,-122.3125,2250,10797,57
3625049042,2014-10-11,3635000,1479322,59,5,6.0,5490,19897,2.0,0,0,3,12,5490,0,2005,0,98039,47.625,-122.25,2910,17600,10
808300180,2015-02-11,454000,725787,59,4,2.5,3040,12522,2.0,0,0,3,7,3040,0,2000,0,98019,47.71875,-121.9375,2490,9742,15
6980500030,2014-12-11,650000,1035513,59,4,2.5,3700,4500,2.0,0,0,3,9,3700,0,2007,0,98028,47.75,-122.25,3050,5047,8
5416510490,2014-07-08,355000,565669,59,4,2.75,3000,5470,2.0,0,0,3,8,3000,0,2005,0,98038,47.375,-122.0625,2420,4891,10
3278600670,2014-05-23,235000,375428,59,2,1.0,1140,1730,1.5,0,0,3,8,1010,130,2007,0,98126,47.5625,-122.375,1360,1730,8
179001455,2014-11-07,445000,710766,59,4,3.25,3450,5000,2.0,0,0,3,8,3450,0,2008,0,98178,47.5,-122.25,1420,5000,7
8956200770,2014-07-23,549950,878705,59,4,3.5,3906,9674,2.0,0,2,3,9,3906,0,2014,0,98001,47.28125,-122.25,2673,6500,1
4019300051,2014-11-25,455000,722938,58,3,1.75,1760,11371,1.0,0,0,5,8,1760,0,1959,0,98155,47.75,-122.25,2220,19884,56
4109600306,2015-02-18,475000,196499,58,2,1.0,920,5157,1.0,0,0,3,6,920,0,1909,0,98118,47.5625,-122.25,1700,5150,106
2781250610,2014-12-02,250000,104013,58,3,2.0,1470,2781,2.0,0,0,3,6,1470,0,2003,0,98038,47.34375,-122.0,1360,3008,12
4047200820,2014-08-22,250000,397456,58,3,1.0,1640,26127,2.0,0,0,3,6,1640,0,1975,0,98019,47.75,-121.875,1620,25788,40
1624049291,2014-10-08,557500,885252,58,3,3.5,3350,5025,2.0,0,2,3,8,2670,680,2014,0,98144,47.5625,-122.3125,2030,5117,1
5490700035,2014-08-07,325000,512260,57,4,1.5,1870,7220,2.0,0,0,3,7,1870,0,1956,0,98155,47.78125,-122.3125,1550,7592,59
9264960850,2014-07-09,412000,648143,57,4,3.5,3360,9767,2.0,0,0,3,9,2450,910,1990,0,98023,47.3125,-122.375,2580,8757,25
3331500650,2014-09-19,356000,151391,57,3,1.0,920,3863,1.0,0,0,3,6,920,0,1970,0,98118,47.5625,-122.25,1080,5150,45
7950302150,2015-04-10,385000,164713,57,1,1.0,660,3570,1.0,0,0,3,6,660,0,1906,0,98118,47.5625,-122.3125,1520,4080,109
4435000145,2015-05-01,263000,111542,57,4,1.75,1340,8700,1.5,0,0,3,6,1340,0,1958,0,98188,47.4375,-122.3125,1240,8700,57
4019500030,2014-10-29,450000,710138,57,3,2.5,2280,4557,2.0,0,0,3,8,2280,0,2010,0,98028,47.78125,-122.25,2070,4610,5
7853280490,2014-12-22,633000,998462,57,4,3.5,4220,5817,2.0,0,0,3,9,2910,1310,2006,0,98065,47.53125,-121.875,4290,6637,9
9511120050,2014-06-27,427000,671747,57,3,2.5,2432,9391,2.0,0,2,3,9,2432,0,2005,0,98001,47.34375,-122.25,2912,8932,10
255550070,2014-06-26,330675,520870,57,4,3.0,1930,3031,1.0,0,0,3,7,1200,730,2006,0,98019,47.75,-122.0,1930,2611,9
7972603931,2014-10-09,240000,104086,56,2,1.0,720,6345,1.0,0,0,3,6,720,0,1943,0,98106,47.53125,-122.375,720,6345,72
3918400097,2014-11-17,567000,890165,56,4,1.75,2630,11213,1.0,0,2,4,8,1430,1200,1948,0,98177,47.71875,-122.375,2240,15186,67
9456200405,2015-03-10,205950,89939,56,3,1.0,970,11963,1.0,0,0,4,6,970,0,1970,0,98198,47.375,-122.3125,1210,11963,45
2144800146,2014-08-26,257500,403837,56,3,2.0,1300,9334,1.0,0,0,5,7,1300,0,1981,0,98178,47.5,-122.25,2210,9636,34
6021500970,2015-04-07,874950,377574,56,2,1.0,1080,4000,1.0,0,0,3,7,1080,0,1940,0,98117,47.6875,-122.375,1530,4240,75
4046500270,2014-08-19,399000,624478,56,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,2010,0,98014,47.6875,-121.9375,1860,18452,5
3818400110,2014-08-26,520000,815858,56,4,2.5,2900,4950,2.0,0,0,3,8,2900,0,2004,0,98028,47.78125,-122.25,2590,4950,11
9808100150,2015-04-02,3345000,1459894,56,5,3.75,5350,15360,1.0,0,1,3,11,3040,2310,2008,0,98004,47.65625,-122.1875,3740,15940,7
